twitter_uid,Gender,Friends_count,Followers_count,Avg_Tweet,Avg_Word_length,Avg_Sentence_length,Avg_Punctuation,Avg_Capitalized_Words,Avg_Slang_words,Avg_emojis,Avg_words_found,tweets,retweets,images,urls
896691265,M,1775,176,1.02,4,12,1564,1.62,41,0,"[u'ltr', u'omg', u""c'mon"", u'congrats', u'fav', u'lol', u'ur', u'b4', u'cya', u'r', u'u', u'pls', u'aka']",456,19,0,0.5074
75301223,M,350,135,2.08,5,10,1563,1.97,36,9,"[u'mvp', u'omg', u'buddy', u'app', u'lol', u'rofl', u'bro', u'vs', u'ga', u'gl', u'mma', u'shoulda']",375,25,0.0575,0.475
77824432,M,2138,3199,3.16,5,14,1558,2.99,19,4,"[u'flick', u'ugh', u'omg', u""c'mon"", u'congrats', u'fav', u'lol', u'til', u'rpg', u'friggin', u'eu', u'x', u'wanna']",311,124,0.0667,0.2805
39206945,M,902,905,3.62,3,10,1555,8.25,14,29,"[u'u', u'lol', u'ga']",450,10,0.8717,0.9326
25382695,M,506,352,3.01,5,14,1549,2.49,23,107,"[u'til', u'ugh', u'omg', u'lmao', u'g', u'ty', u'app', u'vs', u'lol', u'bro', u'r', u'u', u'wtf', u'wanna', u'whoa']",281,7,0.0139,0.5417
440499185,F,1996,3512,1.04,4,19,1547,2.16,7,0,"[u'ru', u'btw', u'bent', u'congrats', u'pro', u'u', u'aka']",304,94,0.0025,0.5201
24425305,M,1214,976,2.74,5,11,1542,1.32,6,0,"[u'lil', u'u', u'bff', u'wtf']",376,24,0,0.8125
242535054,F,830,155,1.07,5,13,1540,28.41,12,2,"[u'gl', u'app', u'fyi', u'tc', u'g']",384,16,0.175,0.685
1020424538,M,95,64,0.73,4,16,1529,1.67,12,0,"[u'nah', u'r', u'u', u'kinda']",336,4,0.0029,0.3794
20773615,M,863,1101,3.35,4,11,1525,4.41,13,55,"[u'ugh', u'lotta', u'congrats', u'til', u'vs', u'yum', u'ic']",352,48,0.535,0.74
5446992,M,1214,1306,9.64,4,12,1520,2.92,12,128,"[u'til', u'swag', u'buddy', u'ga']",364,89,0.0287,0.6049
