ADMIRATION	AGRE	ANXIETY	AVOIDANCE	CONS	EXTR	NARCISSISM	NEUR	OPEN	RIVALRY	twitter_uid
3.667	4.0	2.889	3.056	4.25	4.25	3.0	1.75	4.0	2.333	162526660
2.333	3.75	3.111	3.722	2.25	4.5	3.167	1.75	4.25	4.0	284684367
3.333	3.0	3.0	3.611	2.75	3.75	3.833	2.5	4.5	4.333	1024827330
3.667	3.0	3.611	4.444	3.25	3.0	3.833	2.75	3.0	4.0	14603910
3.667	2.0	4.833	3.556	3.0	2.25	3.667	4.5	3.5	3.667	55509546
0.0	2.0	3.5	3.333	2.25	2.25	0.0	2.75	2.0	0.0	635925502
0.667	3.25	2.889	3.5	4.0	3.5	0.667	2.0	4.25	0.667	156554546
3.0	4.75	3.944	4.278	4.25	2.0	2.0	2.75	5.0	1.0	2426813204
0.0	3.75	3.722	4.222	3.75	2.5	1.167	3.75	3.0	2.333	215447215
2.333	4.25	2.111	2.222	3.75	3.25	1.833	1.5	4.25	1.333	3160125445
1.667	3.25	3.5	4.611	2.5	3.0	2.667	2.0	4.5	3.667	320390999
0.0	4.75	1.0	1.722	4.75	4.5	0.5	1.0	4.75	1.0	386102578
3.0	3.75	4.389	3.0	3.75	2.0	2.667	2.5	4.0	2.333	961057304383803392
1.667	3.5	2.056	2.333	4.0	3.25	1.5	1.75	4.0	1.333	900197414
3.0	4.25	3.889	2.778	3.75	2.25	2.5	2.5	4.0	2.0	60755543
4.0	4.5	3.778	3.278	3.0	4.0	3.833	4.0	4.75	3.667	4760874563
3.0	4.0	5.667	4.056	2.75	1.0	2.5	4.25	2.75	2.0	302910910
1.333	4.0	3.389	4.278	3.0	1.5	1.167	3.0	5.0	1.0	797468864
3.0	4.25	3.0	3.056	3.75	4.0	2.667	2.25	3.75	2.333	1606587446
3.667	4.75	5.722	5.444	1.25	2.0	3.667	4.75	4.5	3.667	589069043
1.0	4.25	2.111	3.0	5.0	2.25	1.167	2.0	4.25	1.333	4750440557
0.667	4.5	3.944	5.222	1.75	2.0	2.167	4.0	3.75	3.667	85188797
2.0	4.0	2.278	2.222	4.0	4.0	1.333	1.25	4.25	0.667	538550333
2.667	5.0	4.444	4.444	4.75	2.75	1.667	1.5	4.0	0.667	3309335210
3.333	5.0	1.611	1.611	4.75	3.5	2.5	1.25	4.75	1.667	81394315
5.0	3.5	3.111	3.5	3.5	3.25	4.5	4.0	3.75	4.0	4329657376
4.0	3.75	1.611	3.778	4.0	3.25	3.667	1.0	5.0	3.333	15395155
5.0	5.0	1.0	1.0	3.75	5.0	3.333	2.0	5.0	1.667	3160440357
1.333	3.75	2.611	3.222	4.75	4.0	0.667	2.25	4.25	0.0	796441925733781504
0.0	4.25	2.222	3.611	3.5	3.75	0.0	2.0	4.25	0.0	4008335784
3.667	2.0	1.944	4.778	3.75	3.25	3.167	2.0	4.5	2.667	2420522270
3.667	3.25	3.778	4.056	3.25	3.0	4.167	3.25	2.75	4.667	372356363
4.333	3.25	4.833	4.167	3.5	3.5	4.5	2.75	3.75	4.667	29320650
2.667	4.5	5.222	4.056	3.5	1.0	3.167	5.0	3.25	3.667	706746992
2.667	4.25	2.833	2.944	3.75	1.75	3.0	1.75	3.5	3.333	172410969
3.667	4.25	2.556	2.333	2.25	3.0	3.167	1.75	3.75	2.667	390351304
1.667	2.25	2.444	4.167	2.5	3.75	1.833	1.5	2.5	2.0	1066296800703725568
5.0	5.0	2.167	1.889	3.25	5.0	3.833	3.25	4.75	2.667	90482980
1.667	2.75	2.278	4.0	4.0	2.5	0.833	1.5	4.0	0.0	244627436
0.0	4.0	1.833	2.611	4.0	1.75	0.0	2.0	3.75	0.0	14389036
0.667	4.25	2.167	4.778	3.0	2.5	0.667	3.0	4.0	0.667	953796730721509376
3.0	5.0	1.889	1.889	4.25	4.75	3.167	2.25	4.75	3.333	213481141
2.667	3.75	6.111	4.167	2.5	1.75	2.5	5.0	3.5	2.333	2393439840
4.0	2.75	2.556	3.444	4.5	3.75	3.5	3.0	4.0	3.0	105002321
3.333	3.5	2.0	4.778	4.0	1.75	2.667	3.0	4.5	2.0	1672063806
2.0	4.5	2.222	3.611	3.25	1.0	1.0	3.75	3.0	0.0	114242755
3.667	5.0	4.5	1.944	2.25	3.0	2.667	4.25	5.0	1.667	146554837
5.667	4.0	1.722	4.278	4.5	3.0	3.833	2.0	4.75	2.0	1105494120
1.333	4.25	4.056	2.333	4.5	3.0	0.667	3.0	3.25	0.0	157096063
0.667	3.5	3.556	5.611	3.75	1.25	0.667	2.5	4.0	0.667	702614488361467904
3.0	4.25	2.0	2.167	4.0	3.0	2.333	1.25	4.25	1.667	87583562
5.333	5.0	6.167	3.111	4.75	2.0	5.333	1.0	4.5	5.333	63919192
3.0	3.0	3.278	4.722	4.0	2.25	3.0	2.25	3.75	3.0	98577497
4.333	4.5	1.0	4.611	5.0	5.0	3.0	1.0	5.0	1.667	99033081
0.0	5.0	3.5	2.278	3.0	1.75	0.0	3.5	2.75	0.0	50374569
4.667	5.0	1.667	3.111	4.5	4.25	3.167	1.0	5.0	1.667	583284556
2.0	5.0	2.333	2.722	3.75	1.0	2.0	2.5	4.75	2.0	1279120110
